8PSK_sim:,624,6400,8750,4226,20000
16QAM_sim:,602,6901,2956,9541,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.87495,0.1197,0.0029,0.00245,1
QPSK_sim:,0.10445,0.5671,0.1527,0.17575,1
8PSK_sim:,0.0312,0.32,0.4375,0.2113,1
16QAM_sim:,0.0301,0.34505,0.1478,0.47705,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,17834,2121,18,27,20000
QPSK_sim:,1568,12295,2893,3244,20000
8PSK_sim:,348,5539,10198,3915,20000
16QAM_sim:,431,6117,2830,10622,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8917,0.10605,0.0009,0.00135,1
QPSK_sim:,0.0784,0.61475,0.14465,0.1622,1
8PSK_sim:,0.0174,0.27695,0.5099,0.19575,1
16QAM_sim:,0.02155,0.30585,0.1415,0.5311,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,17940,2043,6,11,20000
QPSK_sim:,1268,12850,2651,3231,20000
8PSK_sim:,166,4484,11622,3728,20000
16QAM_sim:,275,6087,2937,10701,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.897,0.10215,0.0003,0.00055,1
QPSK_sim:,0.0634,0.6425,0.13255,0.16155,1
8PSK_sim:,0.0083,0.2242,0.5811,0.1864,1
16QAM_sim:,0.01375,0.30435,0.14685,0.53505,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,18264,1733,2,1,20000
QPSK_sim:,875,13502,2377,3246,20000
8PSK_sim:,96,3673,12793,3438,20000
16QAM_sim:,136,5482,2944,11438,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9132,0.08665,0.0001,5e-05,1
QPSK_sim:,0.04375,0.6751,0.11885,0.1623,1
8PSK_sim:,0.0048,0.18365,0.63965,0.1719,1
16QAM_sim:,0.0068,0.2741,0.1472,0.5719,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,18531,1468,0,1,20000
QPSK_sim:,663,13990,2191,3156,20000
8PSK_sim:,52,2857,14018,3073,20000
16QAM_sim:,74,4845,2649,12432,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.92655,0.0734,0.0,5e-05,1
QPSK_sim:,0.03315,0.6995,0.10955,0.1578,1
8PSK_sim:,0.0026,0.14285,0.7009,0.15365,1
16QAM_sim:,0.0037,0.24225,0.13245,0.6216,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,18783,1217,0,0,20000
QPSK_sim:,475,14762,1903,2860,20000
8PSK_sim:,25,2063,15328,2584,20000
16QAM_sim:,84,5376,2633,11907,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.93915,0.06085,0.0,0.0,1
QPSK_sim:,0.02375,0.7381,0.09515,0.143,1
8PSK_sim:,0.00125,0.10315,0.7664,0.1292,1
16QAM_sim:,0.0042,0.2688,0.13165,0.59535,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19013,987,0,0,20000
QPSK_sim:,314,15387,1540,2759,20000
8PSK_sim:,7,1223,16611,2159,20000
16QAM_sim:,61,5111,2481,12347,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.95065,0.04935,0.0,0.0,1
QPSK_sim:,0.0157,0.76935,0.077,0.13795,1
8PSK_sim:,0.00035,0.06115,0.83055,0.10795,1
16QAM_sim:,0.00305,0.25555,0.12405,0.61735,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19178,822,0,0,20000
